	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YPR045C	-0.08	0.43	0.0	0.0	-0.32	0.07	0.2	-0.08	0.18	0.24	-0.37	-0.06	-0.04	-0.12	-0.25	-0.04	0.05	0.21
YPR044C	0.25	-0.19	-0.1	-0.13	-0.03	-0.25	0.16	-0.15	0.25	-0.21	0.21	-0.35	0.19	-0.21	0.38	-0.03	0.36	-0.13
YPR043W	0.02	0.04	-0.42	-0.11	-0.21	-0.11	0.24	-0.05	0.04	0.35	-0.07	-0.17	0.23	-0.11	0.1	-0.07	0.18	0.1
YPR042C	0.04	0.9	0.05	-0.29	0.18	-0.12	0.25	-0.16	0.07	-0.31	-0.01	-0.35	-0.16	0.24	0.21	-0.11	-0.02	-0.43
YPR041W	0.19	-0.47	-0.24	-0.24	0.08	0.06	0.38	-0.13	-0.02	0.06	0.15	-0.05	0.09	0.19	0.06	-0.05	0.13	-0.18
YPR040W	-0.03	-0.55	-0.12	-0.27	0.17	0.32	0.37	0.08	0.09	-0.23	-0.14	-0.05	-0.02	-0.21	0.02	-0.03	0.34	0.25
YPR039W	-0.09	0.015	0.12	-0.16	0.11	-0.05	0.22	-0.04	0.08	-0.1	-0.1	-0.07	-0.02	-0.27	-0.21	-0.19	0.12	0.65
YPR038W	0.11	-0.16	0.08	-0.45	0.13	0.19	0.41	0.1	0.07	-0.21	-0.12	-0.29	-0.07	-0.07	0.14	-0.18	0.3	0.02
YPR037C	-0.08	-0.2	0.02	0.3	-0.02	-0.17	0.28	0.0	0.11	0.0	-0.11	-0.18	0.03	-0.29	0.11	-0.28	0.09	0.4
YPR036W	0.2	-0.12	0.3	-0.39	0.1	-0.02	0.13	-0.18	0.08	-0.28	0.02	-0.06	0.03	-0.24	0.28	-0.1	0.21	0.02
YPR035W	0.72	0.87	0.73	0.02	-0.09	-0.14	0.23	-0.47	-0.45	-0.8	-0.35	0.02	0.0	-0.18	0.14	-0.1	-0.2	0.04
YPR034W	-0.12	-0.77	-0.25	-0.54	0.35	0.37	0.54	0.295	0.05	-0.23	-0.18	-0.05	0.01	-0.06	0.32	0.17	0.34	0.06
YPR033C	0.3	-0.25	0.18	0.05	0.05	-0.16	0.26	-0.21	0.14	-0.21	0.03	-0.05	0.01	-0.21	0.09	-0.09	0.08	-0.02
YPR032W	-0.07	-0.48	-0.15	-0.53	0.01	0.02	0.29	0.13	0.2	-0.01	0.08	-0.05	0.53	-0.33	-0.01	0.02	0.2	0.15
YPR031W	-0.32	-0.77	-0.18	-0.05	0.29	-0.01	0.33	-0.16	0.02	0.07	-0.16	0.06	0.17	-0.08	0.12	-0.08	0.11	0.65
YPR030W	0.13	0.75	0.31	0.195	0.08	0.2	-0.16	0.17	-0.05	-0.27	-0.68	-0.01	-0.34	-0.315	-0.29	-0.27	-0.1	0.54
YPR029C	-0.01	-0.4	0.1	-0.33	0.14	-0.05	0.26	-0.13	0.12	-0.13	0.07	-0.07	-0.01	-0.13	0.1	-0.15	0.0	0.6
YPR028W	0.09	-0.24	0.02	0.13	0.29	0.2	0.45	-0.04	0.07	-0.37	-0.04	-0.37	0.07	-0.14	0.24	-0.22	0.13	-0.27
YPR027C	0.7	0.64	-0.26	-0.23	-0.2	-0.1	-0.03	-0.01	0.06	0.01	-0.28	-0.01	-0.12	-0.2	-0.01	-0.24	-0.01	0.06
YPR026W	-0.14	1.16	0.32	0.175	0.03	-0.21	0.0	-0.26	-0.02	-0.13	0.04	-0.21	0.03	-0.3	0.23	0.0	-0.37	-0.17
YPR025C	-0.12	0.26	-0.23	-0.12	-0.4	0.36	0.13	0.04	0.15	0.28	-0.33	0.3	0.04	-0.17	-0.28	0.04	-0.08	0.16
YPR024W	0.03	0.07	0.04	0.07	0.06	0.03	0.32	-0.11	0.07	-0.06	0.06	0.04	-0.1	-0.32	0.01	0.08	-0.14	-0.14
YPR023C	-0.09	0.33	-0.13	0.05	-0.37	0.22	0.17	0.125	0.08	0.29	-0.2	0.11	0.0	-0.35	-0.17	-0.07	-0.04	0.19
YPR022C	0.18	0.185	0.19	-0.02	0.0	0.08	0.11	0.08	0.05	0.0	0.03	-0.13	-0.02	-0.35	0.23	0.14	-0.5	-0.06
YPR021C	0.05	0.32	0.17	0.22	-0.09	-0.03	-0.15	-0.09	0.07	0.16	-0.22	-0.07	0.08	-0.36	-0.17	0.03	-0.05	0.07
YPR020W	0.38	0.13	0.17	0.23	-0.07	0.16	0.12	-0.15	0.13	-0.15	-0.1	-0.1	0.07	-0.19	-0.19	-0.32	-0.02	-0.1
YPR019W	-0.31	1.32	0.18	0.01	-0.82	-1.01	-0.53	-0.5	0.35	0.7	0.56	0.66	0.07	-0.47	-0.65	-0.04	0.01	0.5
YPR018W	-0.36	0.12	0.6	0.63	0.28	-0.05	-0.04	-0.42	-0.2	-0.18	0.15	0.3	0.21	-0.36	-0.07	-0.04	-0.38	-0.09
YPR017C	-0.09	-0.07	-0.03	-0.07	0.02	-0.11	0.02	-0.16	0.13	0.29	0.02	0.28	0.28	-0.18	-0.18	-0.11	-0.13	0.11
YPR016C	0.36	-0.23	-0.3	-0.38	0.01	-0.41	0.38	-0.07	0.03	-0.04	0.13	0.07	0.24	0.09	-0.19	-0.14	-0.19	0.66
YPR015C	-0.25	-0.14	0.21	-0.05	0.18	0.44	-0.12	0.14	-0.15	0.05	-0.19	-0.23	-0.1	-0.19	-0.1	-0.23	0.0	0.73
YPR014C	0.3	-0.18	-0.02	-0.2	0.14	0.23	0.08	-0.07	-0.07	-0.04	-0.39	-0.05	0.1	-0.07	-0.07	0.1	-0.2	0.4
YPR013C	0.2	-0.14	-0.16	-0.12	0.03	-0.1	0.2	-0.08	0.07	-0.04	-0.28	-0.12	-0.08	-0.02	0.03	-0.26	0.1	0.76
YPR012W	0.0	-0.37	0.28	-0.32	0.17	-0.24	0.15	0.0	0.11	-0.15	-0.02	-0.07	-0.06	-0.43	0.09	0.04	0.32	0.49
YPR011C	-0.04	-0.03	0.07	0.04	-0.17	-0.08	0.09	-0.13	0.01	0.01	0.01	-0.08	-0.08	-0.17	0.04	-0.08	0.01	0.57
YPR010C	0.25	-0.5	-0.45	-0.52	0.12	-0.19	0.21	0.06	0.2	-0.27	0.25	0.07	0.01	0.01	0.28	0.21	0.27	0.0
YPR009W	-0.02	0.09	0.0	0.12	-0.03	-0.065	-0.1	-0.64	0.08	-0.31	-0.215	-0.12	0.25	-0.08	0.43	0.18	-0.07	0.38
YPR008W	0.29	0.38	0.47	-0.17	-0.26	-0.3	-0.01	-0.11	0.09	0.07	0.04	-0.08	0.02	-0.37	-0.06	-0.03	0.07	0.34
YPR007C	0.06	0.125	0.19	0.05	0.08	0.21	0.14	-0.035	-0.21	-0.21	-0.21	-0.19	-0.27	-0.1	-0.41	0.24	0.565	0.89
YPR006C	-0.06	1.64	0.29	-0.21	0.28	-0.03	0.26	-0.01	0.01	-0.27	-0.18	-0.42	-0.13	-0.61	-0.09	-0.44	-0.12	0.1
YPR005C	-0.08	0.92	0.04	-0.05	-0.14	-0.05	0.04	-0.085	-0.21	-0.21	-0.235	-0.26	-0.26	-0.26	-0.2	0.08	0.22	0.36
YPR004C	-0.07	0.6	-0.14	-0.29	-0.25	0.41	0.53	-0.12	0.19	-0.29	-0.34	-0.4	0.02	-0.29	0.27	0.15	0.18	-0.18
YPR003C	-0.41	0.49	0.21	0.02	0.115	0.21	0.25	0.03	0.15	0.31	-0.22	-0.14	-0.32	-0.3	-0.07	-0.2	-0.12	0.13
YPR002W	-0.12	0.12	0.36	0.75	0.41	0.23	0.31	0.18	0.52	0.0	-0.17	-0.28	-0.22	-0.45	-0.74	-0.25	-0.51	-0.04
YPR001W	0.05	0.075	0.1	0.05	0.235	0.42	-0.06	0.1	0.34	-0.025	-0.39	-0.23	0.05	0.01	-0.46	0.17	-0.27	0.13
YPL283C	-0.35	-0.45	0.93	0.61	0.06	-0.24	-0.22	-0.62	-0.2	0.02	0.69	0.75	0.23	-0.3	-0.08	-0.25	-0.25	-0.3
YPL282C	0.06	0.26	0.0	0.21	0.175	0.14	0.16	-0.29	0.01	0.1	-0.15	-0.02	-0.02	-0.13	-0.12	-0.11	-0.06	-0.15
YPL281C	0.13	-0.16	0.15	0.1	0.05	0.03	0.32	0.09	0.09	-0.16	-0.01	-0.13	0.12	-0.2	0.09	-0.11	-0.13	-0.16
YPL280W	0.16	0.17	0.32	-0.23	-0.1	0.03	0.02	-0.16	-0.08	0.37	-0.39	0.12	0.11	-0.08	-0.13	-0.18	-0.1	-0.08
YPL279C	0.09	-0.4	0.01	-0.08	-0.125	-0.17	0.23	-0.17	0.12	0.2	0.095	-0.01	0.65	-0.01	-0.38	0.15	-0.31	0.0
YPL278C	0.08	0.37	0.05	-0.35	-0.18	-0.01	0.08	-0.01	0.1	-0.16	-0.26	-0.04	0.01	-0.1	0.055	0.21	-0.01	0.01
YPL277C	0.19	0.12	0.24	0.12	0.0	-0.08	0.24	0.0	0.18	-0.1	-0.38	0.13	0.1	-0.08	-0.1	-0.1	-0.29	-0.06
YPL276W	0.21	0.09	0.17	0.17	0.16	0.15	0.28	-0.09	0.0	-0.14	-0.42	-0.12	-0.16	-0.09	-0.065	-0.04	-0.12	0.12
YPL275W	0.07	0.215	0.36	-0.44	0.1	-0.28	0.09	0.19	-0.2	-0.09	-0.28	-0.05	0.12	-0.26	-0.14	0.12	-0.03	0.73
YPL274W	0.15	0.2	0.68	-0.14	-0.11	0.2	0.98	0.52	0.06	-0.29	-0.17	-0.3	-0.43	-0.6	-0.27	0.12	-0.01	-0.07
YPL273W	0.17	-0.25	0.03	-0.21	0.17	-0.28	0.1	-0.3	0.08	-0.18	0.21	-0.08	0.35	-0.19	0.29	-0.06	0.16	-0.03
YPL272C	-0.21	-0.05	0.31	-0.05	-0.04	-0.11	0.22	0.13	0.04	-0.12	0.07	0.01	-0.19	-0.18	-0.11	-0.09	0.12	0.37
YPL271W	0.16	-0.03	0.44	0.24	0.28	-0.26	0.15	-0.36	0.0	-0.22	0.05	-0.3	0.21	-0.28	0.15	-0.24	0.04	-0.03
YPL270W	0.09	-0.09	0.49	0.15	0.19	-0.25	0.09	0.035	-0.02	0.01	-0.02	0.04	-0.07	-0.14	-0.27	-0.23	-0.04	0.06
YPL269W	-0.58	-0.415	-0.25	-0.35	0.1	0.09	0.36	0.07	-0.1	-0.58	-0.61	-0.04	0.3	0.17	0.3	0.17	0.32	0.64
YPL268W	-0.09	-0.25	0.12	0.23	0.09	-0.19	0.04	-0.005	-0.05	0.14	-0.01	0.02	-0.21	0.11	-0.19	-0.07	0.04	0.25
YPL267W	-1.12	-0.36	1.37	1.17	0.17	-0.51	-0.2	-0.59	-0.72	-0.45	0.85	1.0	0.41	-0.14	-0.27	-0.32	-0.51	0.22
YPL266W	0.0	-0.77	-0.47	-0.43	-0.01	-0.1	0.35	0.08	0.33	-0.05	0.05	-0.05	0.17	-0.17	0.24	-0.08	0.36	0.54
YPL265W	-1.12	0.21	1.03	0.52	0.42	-0.32	-0.02	0.27	0.33	0.03	0.03	-0.4	-0.34	-0.44	0.06	-0.25	0.2	-0.22
YPL264C	-0.3	-0.19	0.19	-0.32	0.17	-0.15	0.22	0.0	0.16	-0.17	-0.28	-0.17	0.17	-0.21	0.17	-0.12	0.2	0.64
YPL263C	0.06	-0.15	-0.62	0.08	-0.15	0.08	0.17	0.13	0.16	0.24	-0.17	0.09	0.02	-0.07	-0.12	0.06	-0.09	0.29
YPL262W	-0.06	0.12	-0.02	0.35	0.04	0.25	0.31	0.08	0.08	-0.09	-0.03	0.01	-0.08	-0.18	-0.05	-0.23	-0.23	-0.25
YPL261C	0.14	0.21	0.28	0.205	0.13	0.05	0.25	-0.01	0.07	-0.06	-0.19	-0.04	0.11	-0.17	-0.17	-0.12	-0.09	-0.21
YPL260W	-0.07	0.35	0.2	0.1	-0.23	0.24	0.2	0.09	-0.11	-0.06	-0.16	0.2	-0.23	-0.16	-0.31	-0.25	0.06	0.13
YPL259C	0.27	0.16	-0.03	-0.03	-0.2	0.04	0.11	0.13	0.01	-0.08	-0.17	0.04	0.19	-0.32	-0.04	0.02	-0.1	0.01
YPL258C	0.0	-0.1	-0.1	0.28	0.14	0.46	0.21	0.06	-0.05	0.1	-0.26	0.14	-0.17	-0.1	-0.4	-0.11	-0.06	-0.05
YPL257W	0.04	0.19	0.42	0.06	0.04	0.15	0.01	-0.1	-0.15	-0.22	-0.34	0.09	0.59	-0.19	-0.28	-0.08	-0.15	-0.08
YPL256C	-1.41	-0.69	1.39	1.98	0.74	0.21	-0.36	-1.32	-1.5	-1.07	0.35	1.57	1.1	0.56	0.18	-0.32	-0.38	-1.04
YPL255W	-0.87	-0.81	0.48	0.45	0.63	0.39	-0.23	-0.05	-0.05	-0.39	0.03	0.33	0.23	0.0	0.26	-0.11	0.03	-0.33
YPL254W	0.16	0.07	-0.02	-0.06	-0.65	0.27	0.01	0.18	-0.09	-0.04	0.19	0.22	0.19	-0.45	-0.21	-0.02	0.08	0.22
YPL253C	-0.69	-0.38	-0.01	-0.04	0.46	0.37	0.08	0.39	0.06	-0.32	-0.67	-0.14	-0.09	0.09	0.37	0.33	0.32	-0.14
YPL252C	0.16	-0.15	-0.32	0.13	-0.19	0.15	0.42	0.35	0.08	-0.27	-0.38	-0.04	0.3	-0.02	-0.02	-0.15	0.07	-0.17
YPL251W	-0.09	-0.85	0.28	-0.02	0.6	-0.38	0.27	0.17	0.21	-0.24	0.02	-0.24	0.11	-0.14	0.05	0.08	0.21	-0.04
YPL250C	-0.18	0.71	-0.08	0.03	0.44	0.08	0.75	-0.05	-0.08	-0.54	-0.46	-0.43	-0.29	-0.19	0.26	-0.27	0.22	0.05
YPL249C	0.4	0.03	-0.26	0.13	-0.04	-0.12	-0.06	-0.03	-0.035	-0.04	-0.04	0.09	0.0	-0.08	-0.12	-0.19	0.03	0.3
YPL248C	0.1	-0.13	-0.13	0.17	-0.03	-0.13	0.0	-0.15	-0.03	0.19	0.21	-0.01	0.0	0.02	0.14	-0.13	0.1	-0.2
YPL247C	0.14	0.36	0.31	0.32	0.09	-0.37	-0.06	-0.13	0.16	-0.01	0.26	-0.11	-0.17	-0.37	-0.08	-0.22	-0.11	0.0
YPL246C	0.41	0.16	0.37	-0.06	0.16	-0.35	0.18	-0.1	0.03	-0.28	-0.01	-0.2	0.19	-0.37	-0.04	-0.51	0.31	0.13
YPL245W	0.05	-0.64	0.0	-0.27	0.3	0.13	0.05	0.14	0.21	0.0	0.0	-0.34	-0.16	-0.14	0.3	0.04	0.27	0.05
YPL244C	-0.05	-0.27	-0.16	-0.2	0.06	0.06	0.37	0.18	0.17	0.01	-0.21	-0.21	0.09	-0.21	-0.04	-0.2	0.34	0.27
YPL243W	-0.05	-0.78	-0.03	-0.26	-0.15	0.31	0.12	0.36	0.3	0.02	0.28	-0.01	-0.03	-0.28	0.24	-0.01	-0.02	-0.03
YPL242C	-0.94	-0.54	-0.78	-0.74	-1.13	-0.68	0.36	0.56	1.16	0.78	0.43	0.14	-0.19	-0.42	0.09	0.42	0.55	0.94
YPL241C	-0.37	-0.79	0.48	0.44	0.34	0.39	0.06	0.02	0.01	-0.46	0.05	0.1	0.22	-0.18	0.13	-0.21	-0.24	0.01
YPL240C	-0.05	-0.34	0.48	0.33	0.4	0.07	0.48	0.18	0.24	-0.05	-0.27	-0.2	-0.14	-0.4	-0.06	-0.29	-0.15	-0.24
YPL239W	-0.08	-0.33	-0.08	-0.2	0.16	-0.06	0.19	0.36	0.4	-0.12	-0.17	-0.12	-0.06	-0.09	0.13	0.04	0.24	-0.22
YPL238C	0.38	-0.12	-0.46	0.0	-0.38	0.04	0.29	0.09	0.29	-0.08	0.0	0.02	0.3	-0.68	0.23	-0.1	0.04	0.13
YPL237W	0.15	-0.13	0.05	-0.12	-0.2	-0.17	-0.18	0.13	0.26	-0.13	0.06	-0.07	0.06	-0.18	0.3	0.15	0.13	-0.12
YPL236C	0.16	0.14	0.13	0.12	-0.29	0.14	0.31	0.35	0.065	-0.22	-0.52	0.07	0.17	-0.245	-0.66	-0.05	0.27	0.0
YPL235W	0.27	-0.33	-0.43	0.07	-0.15	-0.03	0.13	-0.01	0.16	-0.01	0.05	-0.05	-0.03	-0.01	0.11	-0.01	0.26	0.03
YPL234C	0.27	-0.01	-0.29	0.16	0.16	-0.04	0.46	0.07	0.25	-0.37	0.01	-0.27	0.18	-0.27	0.34	-0.37	-0.33	-0.29
YPL233W	0.02	-0.2	0.18	-0.06	0.24	0.08	0.17	0.25	0.07	-0.38	-0.32	-0.1	0.0	-0.17	0.29	0.14	0.15	-0.36
YPL232W	0.22	0.055	-0.11	0.04	0.04	-0.04	0.01	-0.03	-0.29	-0.04	0.13	0.5	0.19	-0.19	-0.13	-0.29	-0.03	0.0
YPL231W	0.32	-0.31	-0.67	-0.29	-0.04	-0.2	0.25	-0.14	-0.01	0.13	0.07	0.21	0.08	-0.08	0.01	0.39	-0.12	0.38
YPL230W	0.21	0.22	-0.01	-0.21	-0.05	0.16	0.09	0.34	-0.12	0.07	-0.6	-0.09	0.22	0.01	-0.04	-0.09	-0.07	-0.07
YPL229W	0.17	-0.18	-0.07	0.2	0.22	0.18	-0.13	0.18	-0.22	-0.23	0.21	-0.2	-0.1	-0.09	0.12	0.17	0.13	-0.36
YPL228W	-0.14	0.05	-0.2	-0.03	-0.08	0.16	0.18	0.31	0.0	-0.28	-0.32	-0.1	0.07	0.1	-0.24	-0.08	0.25	0.32
YPL227C	-0.67	-1.02	-0.12	-0.16	0.35	0.35	0.44	0.17	0.2	-0.02	-0.09	-0.15	0.0	0.27	0.12	0.17	0.12	0.03
YPL226W	0.29	-0.79	-0.36	-0.57	-0.02	-0.3	0.08	0.08	0.13	0.16	0.11	0.25	-0.03	0.17	0.06	0.3	0.22	0.22
YPL225W	0.05	-0.32	0.29	0.09	0.1	0.18	0.06	-0.14	0.09	-0.11	0.23	-0.22	0.06	-0.41	0.14	-0.3	0.24	-0.06
YPL224C	0.22	0.28	0.27	0.25	0.23	-0.45	0.18	-0.15	0.08	-0.12	-0.06	-0.19	-0.01	-0.37	0.05	-0.37	0.08	0.34
YPL223C	0.11	-0.18	0.31	-0.13	0.05	0.11	0.09	0.09	0.03	-0.03	-0.33	-0.29	-0.1	-0.15	-0.37	0.02	0.15	0.63
YPL222W	-0.2	0.39	0.72	0.1	0.25	-0.27	0.05	-0.26	-0.06	-0.11	0.2	0.1	0.0	-0.13	-0.31	-0.18	-0.16	-0.11
YPL221W	-0.35	-0.57	1.05	0.86	0.38	0.59	0.12	-0.58	-0.48	-0.38	0.33	0.54	0.26	-0.41	-0.12	-0.35	-0.41	-0.5
YPL220W	0.18	-0.08	0.21	-0.07	0.13	-0.2	0.09	-0.11	0.08	0.05	-0.04	-0.28	0.16	-0.2	0.16	-0.32	0.33	-0.09
YPL219W	-0.12	0.05	0.22	0.06	0.22	0.24	0.13	0.03	-0.16	-0.08	-0.14	-0.18	-0.24	-0.44	-0.08	0.01	0.08	0.39
YPL218W	-0.17	-0.26	0.12	0.07	0.33	0.04	0.42	0.0	0.06	-0.34	-0.14	-0.38	0.3	-0.17	0.31	-0.4	0.32	-0.09
YPL217C	0.16	-0.72	-0.8	-0.49	0.13	0.36	0.16	0.04	0.34	0.14	0.32	-0.06	-0.11	0.04	0.11	-0.01	0.28	0.11
YPL216W	-0.11	0.14	0.12	-0.07	0.22	-0.07	0.11	0.08	0.01	-0.02	-0.04	-0.2	0.05	-0.24	-0.13	-0.33	-0.13	0.63
YPL215W	0.01	-0.17	0.24	-0.08	0.17	-0.22	0.31	0.09	-0.07	-0.15	-0.02	-0.12	0.16	-0.26	0.14	-0.2	0.3	-0.12
YPL214C	0.13	-0.07	-0.27	0.03	-0.06	0.13	0.29	0.15	0.08	-0.17	-0.17	-0.07	0.18	-0.27	-0.29	-0.17	0.19	0.28
YPL213W	0.14	-0.1	0.18	-0.09	0.21	0.01	0.03	0.24	0.05	-0.14	-0.07	-0.23	-0.1	-0.23	0.05	-0.05	0.28	-0.16
YPL212C	0.07	-0.65	-0.46	-0.3	-0.04	-0.02	0.15	0.11	0.15	0.12	-0.04	-0.15	0.11	0.12	-0.01	0.17	0.56	0.12
YPL211W	0.19	-0.68	-0.49	-0.38	0.16	0.11	0.25	0.06	0.45	-0.15	0.39	-0.17	0.11	-0.05	0.21	-0.03	0.12	-0.08
YPL210C	0.09	0.66	-0.48	-0.19	-0.12	-0.16	0.23	-0.05	0.23	0.13	0.03	-0.01	0.11	-0.48	-0.1	0.23	-0.24	0.11
YPL209C	-0.41	-0.54	0.49	0.38	0.01	0.33	0.1	0.07	-0.07	-0.26	-0.01	0.02	0.05	-0.22	0.18	0.01	-0.02	-0.09
YPL208W	-0.25	-0.18	0.12	0.73	0.23	0.07	0.17	-0.46	-0.25	-0.31	0.03	0.49	0.37	0.03	-0.12	-0.01	-0.36	-0.29
YPL207W	-0.09	-0.83	-0.73	-0.47	0.23	0.41	0.34	0.05	0.32	-0.14	0.25	0.12	0.04	0.0	0.34	0.26	0.02	-0.11
YPL206C	0.21	0.43	0.15	0.18	-0.06	-0.08	0.3	-0.02	0.02	-0.06	-0.15	-0.15	0.09	-0.26	-0.19	-0.1	-0.1	-0.21
YPL205C	0.21	-0.18	0.01	0.11	0.06	0.09	-0.05	-0.2	-0.04	-0.16	0.18	0.12	0.01	-0.09	-0.09	0.01	0.09	-0.12
YPL204W	0.4	0.2	-0.33	-0.17	-0.15	-0.33	0.18	0.12	0.06	0.12	0.06	0.2	0.25	-0.21	-0.24	0.1	-0.19	0.05
YPL203W	0.05	0.08	0.47	-0.05	0.1	0.32	0.03	-0.19	-0.19	-0.12	-0.14	-0.41	-0.27	-0.17	0.14	-0.1	0.35	0.1
YPL202C	0.18	-0.27	-0.25	0.0	-0.15	0.03	0.1	0.08	0.01	-0.11	-0.19	0.08	0.0	-0.07	-0.13	0.0	0.16	0.54
YPL201C	0.15	0.22	0.29	-0.17	0.39	-0.11	0.09	-0.07	-0.11	-0.19	-0.62	-0.17	0.0	-0.195	-0.292	-0.39	0.14	0.8
YPL200W	0.1	-0.22	0.21	0.05	0.02	-0.26	0.07	0.24	-0.2	-0.03	-0.39	-0.12	0.02	-0.28	-0.03	-0.14	0.12	0.85
YPL199C	0.0	-0.38	-0.1	-0.38	-0.02	0.05	0.17	-0.24	0.32	0.1	0.26	0.06	0.13	-0.38	0.06	-0.06	0.33	0.08
YPL198W	0.08	-0.24	-0.01	-0.16	0.01	-0.09	0.14	-0.06	0.15	-0.02	-0.09	-0.16	0.15	-0.16	0.19	-0.11	0.15	0.21
YPL197C	0.0	-0.4	0.24	-0.13	0.13	0.22	0.04	-0.15	0.2	-0.04	-0.01	-0.26	-0.2	-0.51	0.11	-0.13	0.35	0.53
YPL196W	0.11	0.25	0.37	0.11	-0.04	-0.09	0.14	-0.13	-0.04	0.03	-0.15	-0.13	-0.04	-0.43	-0.2	-0.39	0.06	0.59
YPL195W	0.02	-0.4	-0.02	-0.11	0.06	0.32	0.09	0.04	0.015	-0.01	0.27	0.02	0.09	-0.42	0.13	-0.2	0.15	0.01
YPL194W	0.0	-0.45	0.29	0.15	-0.05	-0.31	0.05	0.27	-0.07	0.21	0.02	0.07	-0.04	-0.27	-0.45	-0.34	0.13	0.79
YPL193W	0.64	0.21	-0.08	0.1	-0.02	0.23	0.07	0.06	-0.08	-0.18	-0.29	-0.28	-0.13	-0.26	-0.42	-0.28	0.14	0.55
YPL192C	2.89	2.39	1.05	-0.18	-0.36	-0.35	-0.29	-0.33	-0.42	-0.45	-0.69	-0.63	-0.5	-0.76	-0.6	-0.71	-0.25	0.21
YPL191C	0.16	0.42	0.4	0.14	0.0	0.24	-0.19	-0.49	-0.13	-0.11	-0.14	0.2	-0.24	0.01	-0.18	-0.18	0.24	-0.16
YPL190C	-0.11	0.01	-0.34	0.08	-0.11	0.17	0.25	0.27	0.11	0.11	-0.34	-0.04	-0.07	-0.11	-0.16	0.08	0.05	0.17
YPL189W	0.06	0.11	0.16	0.39	0.09	0.04	0.03	0.09	-0.04	-0.54	-0.4	0.03	0.1	0.12	0.17	-0.23	0.07	-0.14
YPL188W	0.2	0.56	-0.12	-0.33	-0.2	0.54	0.19	0.17	0.02	-0.16	-0.18	-0.16	0.07	-0.24	-0.41	-0.2	0.19	0.07
YPL187W	-0.09	-0.02	0.14	-0.32	0.05	-0.05	0.1	0.1	0.11	-0.09	0.17	-0.24	-0.02	-0.26	0.17	-0.12	0.16	0.2
YPL186C	-0.56	1.24	0.45	-0.11	-0.39	0.05	0.0	0.11	0.11	0.13	-0.82	0.18	0.065	-0.05	-0.29	-0.03	-0.22	0.18
YPL185W	0.0	0.195	0.39	0.03	0.25	0.16	-0.01	-0.17	-0.04	-0.3	-0.16	-0.08	0.04	-0.06	-0.3	-0.01	0.16	0.09
YPL184C	-0.43	-0.37	-0.27	0.07	-0.21	0.23	0.23	0.23	0.07	0.7	-0.21	-0.13	0.05	0.29	-0.05	0.0	-0.24	0.05
YPL183C	0.49	-0.7	-0.67	-0.15	0.02	-0.01	0.25	-0.03	0.31	-0.03	0.25	-0.13	0.13	-0.03	0.06	0.16	0.02	0.04
YPL182C	0.23	0.05	-0.13	-0.31	-0.42	0.05	0.13	0.08	0.08	0.19	-0.13	-0.11	-0.015	0.08	-0.29	0.08	0.1	0.2
YPL181W	0.3	0.04	-0.03	-0.46	-0.05	-0.35	0.16	0.17	0.01	0.03	-0.09	-0.14	-0.11	-0.08	0.04	0.03	0.3	0.24
YPL180W	0.19	0.395	0.6	-0.34	0.07	-0.16	0.02	0.53	-0.14	-0.01	0.12	0.15	0.15	-0.05	-0.54	-0.25	-0.34	0.0
YPL179W	0.12	-0.16	0.0	0.01	0.18	0.59	0.33	-0.21	-0.13	-0.25	0.03	-0.13	0.01	-0.3	-0.03	-0.25	0.24	-0.05
YPL178W	0.14	-0.16	0.05	-0.12	0.14	-0.12	0.37	0.05	0.24	-0.14	0.03	-0.24	0.06	-0.32	0.14	-0.36	0.17	0.08
YPL177C	0.69	-0.03	-0.23	-0.39	0.02	0.22	0.12	-0.41	0.13	-0.08	0.09	-0.29	0.08	-0.16	0.0	-0.25	0.33	0.18
YPL176C	-0.21	0.17	0.11	-0.12	-0.01	-0.14	0.31	0.02	0.04	0.01	-0.17	0.08	-0.06	-0.28	-0.11	-0.11	0.11	0.35
YPL175W	0.22	-0.66	-0.19	-0.13	0.18	0.4	0.45	-0.05	-0.08	-0.21	-0.13	-0.28	0.02	-0.03	0.03	-0.24	0.36	0.33
YPL174C	0.03	0.0	-0.14	-0.02	-0.07	-0.07	0.07	-0.11	0.0	-0.03	-0.11	0.07	-0.05	-0.31	-0.02	-0.16	0.15	0.78
YPL173W	0.01	-0.22	0.19	0.1	0.13	0.34	0.46	-0.1	-0.05	0.0	-0.05	-0.36	-0.05	-0.1	-0.21	-0.28	0.06	0.13
YPL172C	0.02	-0.05	0.18	0.24	0.0	0.1	0.05	-0.13	0.05	0.03	-0.02	-0.11	0.1	-0.23	-0.09	-0.31	-0.11	0.28
YPL171C	0.06	-0.11	0.18	-0.15	0.13	0.36	0.13	0.1	-0.19	0.02	-0.11	-0.42	-0.02	-0.26	0.29	-0.28	0.14	0.15
YPL170W	0.13	0.08	0.36	-0.02	-0.12	-0.22	0.23	-0.28	0.13	-0.18	-0.08	0.08	0.03	-0.35	-0.02	-0.24	-0.08	0.54
YPL169C	0.03	-0.53	-0.1	-0.41	0.12	0.29	0.29	-0.03	0.04	-0.15	0.11	-0.06	0.12	-0.19	0.06	-0.01	0.27	0.14
